,genre_list
"['Music', 'Role-playing (RPG)']",4
"['Fighting', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",4
"['Fighting', 'Role-playing (RPG)', 'Strategy', 'Adventure']",4
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Card & Board Game']",4
"['Real Time Strategy (RTS)', 'Strategy', 'Indie', 'Arcade']",4
"['Shooter', 'Real Time Strategy (RTS)']",4
"['Music', 'Platform', 'Puzzle', 'Adventure', 'Indie']",4
"['Puzzle', 'Strategy', 'Quiz/Trivia', 'Indie']",4
"['Shooter', 'Music', 'Indie', 'Arcade']",4
"['Shooter', 'Strategy', 'Tactical', 'Indie']",4
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Tactical']",4
"['Platform', 'Strategy', 'Indie']",4
"['Turn-based strategy (TBS)', 'Adventure']",4
"['Shooter', 'Strategy', 'Tactical', 'Adventure']",4
"['Shooter', 'Platform', 'Puzzle', 'Arcade']",4
"['Point-and-click', 'Role-playing (RPG)', 'Adventure']",4
"['Simulator', 'Strategy', 'Indie', 'Card & Board Game']",4
